Date,Voltage Red-Phase: Songhai (V) ,Voltage White-Phase: Songhai (V),Voltage Blue-Phase: Songhai (V) ,Current Red-Phase: Songhai (A),Current White-Phase: Songhai (A),Current Blue-Phase: Songhai (A),Total Active Power: Songhai (kW),Active Power Red-Phase: Songhai (kW),Active Power White-Phase: Songhai (kW),Active Power Blue-Phase: Songhai (kW),Total Reactive Power: Songhai (kVAr) ,Reactive Power Red-Phase: Songhai (kVAr),Reactive Power White-Phase: Songhai (kVAr),Reactive Power Blue-Phase: Songhai (kVAr),Total Demand:Songhai (kVA),Demand Red-Phase: Songhai (kVA),Demand White-Phase: Songhai (kVA),Demand Blue-Phase: Songhai (kVA),Total Power Factor,Power Factor Red-Phase: Songhai,Power Factor White-Phase: Songhai,Power Factor Blue-Phase: Songhai,Total Power Consumed: Songhai (kWh) ,Frequency (Hz): Songhai 
01/04/2020 00:00,238.7,238.6,238.2,1.8,0,1.4,0.6,0.4,0,0.2,0.4,0.2,0,0.3,0.7,0.4,0,0.3,0.8,0.91,1,0.6,0.6,50
01/04/2020 01:00,239.3,239.1,238.9,1.8,0,1.4,0.6,0.4,0,0.2,0.4,0.1,0,0.3,0.7,0.4,0,0.3,0.8,0.93,1,0.6,0.6,50
01/04/2020 02:00,239.7,239.6,239.3,1.7,0,1.2,0.6,0.3,0,0.2,0.3,0.1,0,0.1,0.6,0.4,0,0.3,0.91,0.94,1,0.86,0.6,50.1
01/04/2020 03:00,240,239.8,239.7,1.8,0,1.5,0.6,0.4,0,0.2,0.4,0.2,0,0.3,0.7,0.4,0,0.3,0.81,0.92,1,0.63,0.6,50
01/04/2020 04:00,239.9,239.7,239.6,1.7,0,1.2,0.5,0.3,0,0.2,0.4,0.1,0,0.2,0.6,0.4,0,0.3,0.83,0.93,1,0.62,0.5,50
01/04/2020 05:00,239.6,239.4,239.1,1.7,0,1.2,0.5,0.3,0,0.2,0.4,0.1,0,0.2,0.6,0.4,0,0.3,0.83,0.93,1,0.62,0.5,50
01/04/2020 06:00,239.8,239.7,239.5,1.7,0,1.3,0.5,0.4,0,0.2,0.4,0.2,0,0.2,0.7,0.4,0,0.3,0.81,0.92,1,0.62,0.5,50.1
01/04/2020 07:00,239.3,239.4,239.2,1.6,0,1.2,0.5,0.3,0,0.2,0.3,0.1,0,0.2,0.6,0.4,0,0.3,0.83,0.94,1,0.61,0.5,50
01/04/2020 08:00,238.4,238.5,238.2,1.7,0,1.1,0.5,0.3,0,0.2,0.3,0.1,0,0.2,0.6,0.4,0,0.3,0.83,0.93,1,0.62,0.5,50
01/04/2020 09:00,237.8,237.9,237.6,1.8,0,1.1,0.5,0.4,0,0.2,0.3,0.1,0,0.2,0.6,0.4,0,0.3,0.83,0.92,1,0.62,0.5,49.9
01/04/2020 10:00,237.8,238,237.5,1.7,0,1.1,0.5,0.4,0,0.2,0.3,0.1,0,0.2,0.6,0.4,0,0.3,0.91,0.99,1,0.64,0.5,50
01/04/2020 11:00,237.2,237.3,236.9,2,0,1.1,0.6,0.4,0,0.2,0.4,0.2,0,0.2,0.7,0.5,0,0.3,0.82,0.9,1,0.64,0.6,49.9
01/04/2020 12:00,237.3,237.3,237,1.9,0,1.2,0.6,0.4,0,0.2,0.4,0.2,0,0.2,0.7,0.4,0,0.3,0.8,0.89,1,0.62,0.6,49.8
