Date,Current Red-Phase: Aksum (A),Current White-Phase: Aksum (A),Current Blue-Phase: Aksum (A),Current Red-Phase: Maps (A),Current White-Phase: Maps (A),Current Blue-Phase: Maps (A),Current Red-Phase: Songhai (A),Current White-Phase: Songhai (A),Current Blue-Phase: Songhai (A)
01/03/2019 00:00,51.8,38.4,33.5,47,39.5,15.6,49.3,42.4,29.6
01/03/2019 01:00,50.3,37.1,31.3,42.8,35.6,13.6,46.9,40,27
01/03/2019 02:00,46,33.1,28.4,44.9,36.1,15,42.8,35.6,22.9
01/03/2019 03:00,37.7,24.2,19.9,46.9,40.1,17.8,34.9,27,14.4
01/03/2019 04:00,44.1,32.1,28.6,42.8,33.7,14.3,28.9,22.3,9.3
01/03/2019 05:00,41.1,30.4,27.9,40.6,32.4,13.3,31.6,25.7,13.7
01/03/2019 06:00,30.8,20.2,17.7,39.9,32,12.9,42,33.7,22.4
01/03/2019 07:00,32.8,21.5,19.4,37.6,30.3,11.6,39.9,33.3,21.5
01/03/2019 08:00,30,19.1,15.8,25.8,19.2,9.3,41.1,33.1,21.3
01/03/2019 09:00,23,12.2,9.1,21.7,15.8,5,41.1,32.5,19.6
01/03/2019 10:00,23.8,9.8,5.9,39.5,30.6,13.7,28.2,22.1,7.7
01/03/2019 11:00,22.1,8.3,4.8,30.8,23.3,8.9,27.2,17.5,2.4
01/03/2019 12:00,22.1,8.2,4.9,32.4,23.9,6.6,24,17.6,2.7
01/03/2019 13:00,23,11.6,8.2,35.9,26.3,7.7,29,17.8,3.5
01/03/2019 14:00,26.2,14.2,9.9,38.8,27.1,8.4,26.5,20.8,5.9
01/03/2019 15:00,22.2,10.7,6.5,35.9,24.5,5.4,25.2,16.6,3.6
01/03/2019 16:00,26.4,14.7,9.4,34.8,25,5.2,24.9,17.3,3.1
01/03/2019 17:00,24.2,12.2,8.4,34.9,27.7,10.5,24.2,17.4,2.8
01/03/2019 18:00,20.3,9.1,5.7,35.3,27.7,11,23.4,17.8,4
01/03/2019 19:00,23.1,12.1,9.6,48.8,40.7,21.3,24.5,17.9,3.9
01/03/2019 20:00,22.8,10.6,6.9,39.3,32.3,16.1,29.9,19.2,6.5
01/03/2019 21:00,22.2,9.4,6.4,47.3,39.7,22.3,32.8,24.3,12.8
01/03/2019 22:00,30.6,17.6,14.1,51.8,41.1,18.7,51.4,42.3,29.5
01/03/2019 23:00,52.8,39.5,36.7,50.6,41,17.8,49.1,42.1,29
02/03/2019 00:00,49,36.2,32.4,51,44,22.4,46.8,38.9,26.3
02/03/2019 01:00,46,34,30.6,51.7,43.5,22,46.8,38,26.7
02/03/2019 02:00,33.7,22.9,19.5,45.5,34.4,15.5,44.1,37,24.9
02/03/2019 03:00,33.6,20.4,18.1,45.5,35.3,17.2,44.7,37.6,25.8
02/03/2019 04:00,41.7,28.9,27.5,38.6,29.2,17.7,41.4,34.4,22.8
02/03/2019 05:00,48.2,35.7,33.9,40.8,32.3,13.6,40.4,33.8,22.3
02/03/2019 06:00,25.7,14.9,11.6,39.9,31.5,12.7,31.4,25.1,13.2
02/03/2019 07:00,28.2,25.3,22.6,38,28.8,10.6,29.9,23.2,11.3
02/03/2019 08:00,23.4,13.3,10.4,38.8,27.4,8.8,28.6,24.2,12.6
02/03/2019 09:00,34.9,23,19.5,37.7,27.2,8.6,28,22.6,9.6
02/03/2019 10:00,24.8,12.4,8.5,33.3,26,4.5,26.3,19.3,7.4
02/03/2019 11:00,19.9,9.3,5.6,34.5,27.1,6.5,25.8,21.3,7.5
02/03/2019 12:00,27.4,13.8,9.8,39.8,30.4,10.4,26.4,21.7,7.1
02/03/2019 13:00,26.6,12,8.5,42,32.8,12.2,23.8,17.8,3.8
02/03/2019 14:00,20.3,8,5.2,42.5,32.6,11.9,26.1,21,6.7
02/03/2019 15:00,31.9,19.7,19.4,39.6,31.1,11.1,26.1,17.6,3.8
02/03/2019 16:00,24.7,12.2,9.4,39.1,25,4.6,35,15.5,4.5
02/03/2019 17:00,23.9,12,9,38,26.9,4.6,27.9,17.4,4.6
02/03/2019 18:00,20,9.4,7.4,44.6,24.9,4.7,22.7,16.5,3.3
02/03/2019 19:00,22.1,10.2,7,51.9,41.7,21.5,41.9,25.8,10.5
02/03/2019 20:00,21.8,9.5,6.9,43.9,35.7,14.8,43.7,32.7,17.8
02/03/2019 21:00,32.2,16,11.6,52.7,42.8,18.1,40.1,33.6,20
02/03/2019 22:00,53.4,39.3,36.8,51.8,41.4,18.5,52.5,43.3,28.4
02/03/2019 23:00,48.8,35.3,32.4,49.7,41.6,18.6,50.3,43.3,28.5
03/03/2019 00:00,47.2,34.2,30.5,46.1,37.4,17.3,37.8,26.8,12
03/03/2019 01:00,34.2,22.1,19.5,42,33.8,14.2,31.2,24.3,10.7
03/03/2019 02:00,33.5,20.9,18.1,41.7,35.7,14.2,30.1,23.4,10.2
03/03/2019 03:00,32.4,21,17.3,40,31.3,11.7,28.6,22.1,9.6
03/03/2019 04:00,52.7,40.4,37.2,38.6,30.4,12.4,28.5,23.4,10.3
03/03/2019 05:00,36.8,25.7,22.2,39.1,30,11.5,28.6,22.3,10.2
03/03/2019 06:00,27.3,16.8,13.4,37.6,28.9,11.2,51.5,45.9,34.5
03/03/2019 07:00,24.7,14.4,11.2,38.5,29.5,11.6,53.3,45.4,34.1
03/03/2019 08:00,19.7,9.1,5.5,35.1,27.2,8.7,41.8,35.4,24.1
03/03/2019 09:00,20.1,12.5,4.7,32.4,23.7,5.3,45.1,34,23
03/03/2019 10:00,33.2,16.8,13.7,30.7,23.9,9,32.9,23.6,11.7
03/03/2019 11:00,26.5,11,8.4,20.2,14.9,5.1,32,19,6.8
03/03/2019 12:00,26.9,8.8,8.2,21,14.7,5.4,23.7,15.6,3.2
03/03/2019 13:00,24.5,8.5,9.3,33.8,22.6,8,24.3,16,3.1
03/03/2019 14:00,22.9,7.9,5.1,35.7,26.6,8.4,28.2,17.4,5.9
03/03/2019 15:00,21.9,7.9,4.3,36.3,24.5,6.1,27.9,15.7,9.3
03/03/2019 16:00,28,7.5,3.3,36.2,26.8,6.9,29.9,15.5,6.5
03/03/2019 17:00,23.5,8.6,5.7,36,27.3,6.7,22.2,15.9,3
03/03/2019 18:00,26.3,11.6,5.5,35.9,28.1,7.3,23.9,16.6,3.1
03/03/2019 19:00,28.1,17.5,11.4,47.1,38.8,14.9,23,17.5,2.8
03/03/2019 20:00,25.4,12.3,8.1,43.8,35,11.2,29.6,25.3,10.9
03/03/2019 21:00,40.2,27.8,24.8,50.2,41.3,19.8,36.1,28.8,14.7
03/03/2019 22:00,36.6,23.9,20.5,43.1,34.5,12.6,50.1,43.1,27.9
03/03/2019 23:00,25.7,12.3,9.7,40.9,33.3,12.7,49.3,41.3,26.4
04/03/2019 00:00,33.9,20,18.2,43.1,35,15.1,35.7,28,14.6
04/03/2019 01:00,39.4,26.7,24,41.5,33.9,13.9,31.2,24.4,11.6
04/03/2019 02:00,32.8,21,18.3,43.9,36.1,16.1,29.6,23.8,11
04/03/2019 03:00,32.3,21.4,18.5,43.3,34.6,15.2,28.5,22,10.2
04/03/2019 04:00,61.3,49.5,47.8,41.8,31.9,13.8,27.8,21.4,9.4
04/03/2019 05:00,46.3,34.9,32.9,39.8,30.3,12.2,28.1,21.7,9.8
04/03/2019 06:00,30.7,19.8,17.2,39.6,30.9,12.7,27.5,20.7,9.3
04/03/2019 07:00,26.9,15.1,13,40.6,31.5,14.7,26.8,20.1,8.9
04/03/2019 08:00,22.3,9.8,7.4,36.9,27.2,9.3,27.2,21.7,10.7
04/03/2019 09:00,24.5,11.5,8.7,32.1,24.6,4.7,51.2,44.5,34.3
04/03/2019 10:00,20.4,7.6,5.2,31.8,24.3,4.7,25.1,19.7,6.6
04/03/2019 11:00,20.6,9.1,6.1,34.8,24.8,4.7,28.7,21.2,6.8
04/03/2019 12:00,24.9,12.4,9,36.4,25.7,5.1,24.1,17.7,4.2
04/03/2019 13:00,20.6,8.1,4.9,34.9,26.1,5.2,23.9,16.7,2.9
04/03/2019 14:00,21.4,8.7,5.6,35.4,24,5.4,25.2,17,3
04/03/2019 15:00,28.5,16.2,13,35.1,24.5,5.3,22.6,16.9,3.4
04/03/2019 16:00,20.9,8.6,4.6,28.4,20,6.5,22.3,16.4,3.4
04/03/2019 17:00,22.2,9.5,6.8,35.3,24,6,23,17.8,4.4
04/03/2019 18:00,25.1,12.5,9.8,35.2,29.8,9.8,24.9,17.9,3
04/03/2019 19:00,23.2,10.6,9.9,28.2,28.3,11.8,29,20.7,3.5
04/03/2019 20:00,22.8,9.6,5.8,43.4,36.7,15.9,36,28.2,12.5
04/03/2019 21:00,21.8,10.2,6.1,37.5,28.6,9.6,34.7,24.9,10.2
04/03/2019 22:00,20.9,10.5,8.8,46.2,31.7,12.3,39.6,32.2,15.8
04/03/2019 23:00,43.7,32.4,29.9,46.6,37.3,17.9,60.2,54.3,37
05/03/2019 00:00,32.1,21.7,18.2,40.6,35,14.9,52.6,46.8,31.3
05/03/2019 01:00,43.8,30.3,28.3,39.9,36.9,11.4,45,38.9,23.8
05/03/2019 02:00,46.3,32.6,32,42.9,35.8,14.5,43.7,35.9,23.8
05/03/2019 03:00,39.3,27.8,26.6,43.2,34.2,15.2,44.3,34.8,22.4
05/03/2019 04:00,40,28.5,27.2,32.7,25.2,14.1,41.4,33.3,21.8
05/03/2019 05:00,37.5,26.4,25,33.8,25.4,15.3,39.9,32,21.8
05/03/2019 06:00,33.9,21.9,20.9,42.3,33.4,17.1,34.8,27.4,16.7
