Date,Frequency (Hz): Aksum,Frequency (Hz): Maps,Frequency (Hz): Songhai
01/03/2019 00:00,50.2,50.2,50.2
01/03/2019 01:00,50.1,50.1,50.1
01/03/2019 02:00,50.1,50.1,50.1
01/03/2019 03:00,50.1,50.1,50.1
01/03/2019 04:00,50.1,50.1,50.1
01/03/2019 05:00,50,50,50
01/03/2019 06:00,50,50,50
01/03/2019 07:00,50,50,50
01/03/2019 08:00,50.1,50.1,50.1
01/03/2019 09:00,50,50,50
01/03/2019 10:00,50,50,50
01/03/2019 11:00,50,50,50
01/03/2019 12:00,50.1,50.1,50.1
01/03/2019 13:00,50.1,50.1,50.1
01/03/2019 14:00,50,50,50
01/03/2019 15:00,49.9,49.9,49.9
01/03/2019 16:00,50.1,50.1,50.1
01/03/2019 17:00,50.2,50.2,50.2
01/03/2019 18:00,50,50,50
01/03/2019 19:00,50,50,50
01/03/2019 20:00,50,50,50
01/03/2019 21:00,50,50,50
01/03/2019 22:00,50.1,50.1,50.1
01/03/2019 23:00,50.1,50.1,50.1
02/03/2019 00:00,50.1,50.1,50.1
02/03/2019 01:00,50,50,50
02/03/2019 02:00,50,50,50
02/03/2019 03:00,50,50,50
02/03/2019 04:00,50,50,50
02/03/2019 05:00,50,50,50
02/03/2019 06:00,50.1,50.1,50.1
02/03/2019 07:00,49.9,49.9,49.9
02/03/2019 08:00,49.9,49.9,49.9
02/03/2019 09:00,50.1,50.1,50.1
02/03/2019 10:00,50,50,50
02/03/2019 11:00,50,50,50
02/03/2019 12:00,50,50,50
02/03/2019 13:00,50,50,50
02/03/2019 14:00,50,50,50
02/03/2019 15:00,50.1,50.1,50.1
02/03/2019 16:00,50.1,50.1,50.1
02/03/2019 17:00,50.1,50.1,50.1
02/03/2019 18:00,50,50,50
02/03/2019 19:00,50.1,50.1,50.1
02/03/2019 20:00,50,50,50
02/03/2019 21:00,50,50,50
02/03/2019 22:00,50,50,50
02/03/2019 23:00,50,50,50
03/03/2019 00:00,50,50,50
03/03/2019 01:00,50.1,50.1,50.1
03/03/2019 02:00,50,50,50
03/03/2019 03:00,50,50,50
03/03/2019 04:00,50.1,50.1,50.1
03/03/2019 05:00,50,50,50
03/03/2019 06:00,50.1,50.1,50.1
03/03/2019 07:00,50,50,50
03/03/2019 08:00,50,50,50
03/03/2019 09:00,50,50,50
03/03/2019 10:00,50.1,50.1,50.1
03/03/2019 11:00,50,50,50
03/03/2019 12:00,49.9,49.9,49.9
03/03/2019 13:00,49.9,49.9,49.9
03/03/2019 14:00,50,50,50
03/03/2019 15:00,50,50,50
03/03/2019 16:00,50,50,50
03/03/2019 17:00,50,50,50
03/03/2019 18:00,50,50,50
03/03/2019 19:00,50,50,50
03/03/2019 20:00,50,50,50
03/03/2019 21:00,50,50,50
03/03/2019 22:00,50.1,50.1,50.1
03/03/2019 23:00,50.2,50.2,50.2
04/03/2019 00:00,50.1,50.1,50.1
04/03/2019 01:00,50.1,50.1,50.1
04/03/2019 02:00,50.1,50.1,50.1
04/03/2019 03:00,50,50,50
04/03/2019 04:00,50.1,50.1,50.1
04/03/2019 05:00,50.1,50.1,50.1
04/03/2019 06:00,50.1,50.1,50.1
04/03/2019 07:00,50,50,50
04/03/2019 08:00,50,50,50
04/03/2019 09:00,50,50,50
04/03/2019 10:00,50,50,50
04/03/2019 11:00,50.1,50.1,50.1
04/03/2019 12:00,50.1,50.1,50.1
04/03/2019 13:00,50.1,50.1,50.1
04/03/2019 14:00,50,50,50
