Date,Voltage Red-Phase (V),Voltage White-Phase (V),Voltage Bule-Phase (V),Current Red-Phase (A),Current White-Phase (A),Current Bule-Phase (A),Total Active Power (kW),Active Power Red-Phase (kW),Active Power White-Phase (kW),Active Power Bule-Phase (kW),Total Reactive Power (kVAr),Reactive Power Red-Phase (kVAr),Reactive Power White-Phase (kVAr),Reactive Power Bule-Phase (kVAr),Total Demand (kVA),Demand Red-Phase (kVA),Demand White-Phase (kVA),Demand Bule-Phase (kVA),Total Power Factor,Power Factor Red-Phase,Power Factor White-Phase,Power Factor Bule-Phase,Total Power Consumed (kWh),Frequency (Hz): Aksum,Temperature (deg C),Humidity (%)
01/03/2019 00:00,233.8,233.4,233.1,51.8,38.4,33.5,28.7,12,8.9,7.8,-3.3,-1.9,-1,-0.4,28.9,12.1,9,7.8,0.993,0.987,0.994,0.999,28.7,50.20,,
01/03/2019 01:00,232.8,232.5,232.1,50.3,37.1,31.3,27.4,11.6,8.6,7.3,-3.2,-1.8,-1,-0.3,27.6,11.7,8.6,7.3,0.993,0.987,0.993,0.999,27.4,50.10,,
01/03/2019 02:00,234.1,233.8,233.2,46,33.1,28.4,24.8,10.5,7.7,6.6,-3.3,-2.2,-0.9,-0.3,25.1,10.7,7.7,6.6,0.991,0.979,0.994,0.999,24.8,50.10,,
01/03/2019 03:00,235.1,234.8,234.3,37.7,24.2,19.9,18.9,8.6,5.6,4.7,-3.1,-2,-0.7,-0.4,19.2,8.9,5.7,4.7,0.987,0.974,0.992,0.997,18.9,50.10,,
01/03/2019 04:00,235.2,235,234.5,44.1,32.1,28.6,24.4,10.2,7.5,6.7,-3.4,-1.9,-1,-0.4,24.6,10.4,7.6,6.7,0.99,0.982,0.991,0.998,24.4,50.10,,
01/03/2019 05:00,234.1,233.9,233.4,41.1,30.4,27.9,23.1,9.5,7.1,6.5,-3.2,-1.9,-0.9,-0.3,23.3,9.6,7.1,6.5,0.991,0.981,0.991,0.999,23.1,50.00,,
01/03/2019 06:00,233.4,233.3,232.8,30.8,20.2,17.7,15.7,7,4.6,4.1,-3.1,-1.8,-0.9,-0.3,16,7.2,4.7,4.1,0.981,0.968,0.98,0.997,15.7,50.00,,
01/03/2019 07:00,231.4,231.3,230.8,32.8,21.5,19.4,16.6,7.3,4.9,4.5,-3.2,-1.9,-0.9,-0.4,16.9,7.5,5,4.5,0.982,0.969,0.983,0.996,16.6,50.00,,
01/03/2019 08:00,232.1,232,231.5,30,19.1,15.8,14.6,6.7,4.3,3.6,-3.1,-1.8,-0.9,-0.4,15,6.9,4.4,3.7,0.978,0.965,0.978,0.995,14.6,50.10,,
01/03/2019 09:00,231.1,231,230.6,23,12.2,9.1,9.7,4.9,2.7,2,-2.7,-1.8,-0.6,-0.3,10.1,5.2,2.8,2.1,0.962,0.939,0.978,0.986,9.7,50.00,,
