Date,Voltage Red-Phase (V),Voltage White-Phase (V),Voltage Bule-Phase (V),Current Red-Phase (A),Current White-Phase (A),Current Bule-Phase (A),Total Active Power (kW),Active Power Red-Phase (kW),Active Power White-Phase (kW),Active Power Bule-Phase (kW),Total Reactive Power (kVAr),Reactive Power Red-Phase (kVAr),Reactive Power White-Phase (kVAr),Reactive Power Bule-Phase (kVAr),Total Demand (kVA),Demand Red-Phase (kVA),Demand White-Phase (kVA),Demand Bule-Phase (kVA),Total Power Factor,Power Factor Red-Phase,Power Factor White-Phase,Power Factor Bule-Phase,Total Power Consumed (kWh),Frequence (Hz),Temperature (deg C),Humidity (%)
01/03/2019 00:00,234.8,234.6,234.1,47,39.5,15.6,23.4,10.5,9.3,3.6,-4.1,-3.4,-0.4,-0.4,23.8,11,9.3,3.7,0.985,0.952,0.999,0.995,23.4,50.2,,
01/03/2019 01:00,233.9,233.6,233.2,42.8,35.6,13.6,20.9,9.4,8.3,3.1,-4.1,-3.3,-0.4,-0.4,21.3,10,8.3,3.1,0.981,0.944,0.999,0.992,20.9,50.1,,
01/03/2019 02:00,235.1,235,234.2,44.9,36.1,15,22,10,8.5,3.5,-4.2,-3.3,-0.4,-0.4,22.4,10.5,8.5,3.5,0.982,0.948,0.999,0.994,22,50.1,,
01/03/2019 03:00,236.2,236,235.4,46.9,40.1,17.8,24.3,10.6,9.5,4.2,-4.1,-3.3,-0.4,-0.4,24.6,11.1,9.5,4.2,0.986,0.954,0.999,0.996,24.3,50.1,,
01/03/2019 04:00,236.2,236.2,235.6,42.8,33.7,14.3,20.9,9.5,8,3.4,-4.3,-3.4,-0.5,-0.4,21.3,10.1,8,3.4,0.979,0.941,0.998,0.993,20.9,50.1,,
01/03/2019 05:00,235.1,235.1,234.5,40.6,32.4,13.3,19.7,9,7.6,3.1,-4.1,-3.2,-0.5,-0.4,20.1,9.6,7.6,3.1,0.979,0.941,0.998,0.992,19.7,50,,
01/03/2019 06:00,234.4,234.4,233.9,39.9,32,12.9,19.3,8.8,7.5,3,-4.2,-3.2,-0.5,-0.4,19.7,9.4,7.5,3,0.978,0.938,0.998,0.99,19.3,50,,
01/03/2019 07:00,232.4,232.5,231.8,37.6,30.3,11.6,17.9,8.1,7.1,2.7,-4,-3.2,-0.5,-0.4,18.3,8.7,7.1,2.7,0.975,0.933,0.997,0.991,17.9,50,,
01/03/2019 08:00,233.1,233.2,232.6,25.8,19.2,9.3,11.8,5.5,4.2,2.1,-4.2,-2.4,-1.4,-0.5,12.5,5.9,4.4,2.1,0.941,0.917,0.949,0.977,11.8,50.1,,
01/03/2019 09:00,232.1,232.1,231.7,21.7,15.8,5,8.9,4.4,3.4,1.1,-4,-2.3,-1.4,-0.3,9.8,5,3.6,1.1,0.91,0.889,0.921,0.953,8.9,50,,
