Date,Voltage Red-Phase: Maps (V) ,Voltage White-Phase: Maps (V),Voltage Blue-Phase: Maps (V) ,Current Red-Phase: Maps (A),Current White-Phase: Maps (A),Current Blue-Phase: Maps (A),Total Active Power: Maps (kW),Active Power Red-Phase: Maps (kW),Active Power White-Phase: Maps (kW),Active Power Blue-Phase: Maps (kW),Total Reactive Power: Maps (kVAr) ,Reactive Power Red-Phase: Maps (kVAr),Reactive Power White-Phase: Maps (kVAr),Reactive Power Blue-Phase: Maps (kVAr),Total Demand:Maps (kVA),Demand Red-Phase: Maps (kVA),Demand White-Phase: Maps (kVA),Demand Blue-Phase: Maps (kVA),Total Power Factor,Power Factor Red-Phase: Maps,Power Factor White-Phase: Maps,Power Factor Blue-Phase: Maps,Total Power Consumed: Maps (kWh) ,Frequency (Hz): Maps 
01/04/2020 00:00,239.7,239.8,239.3,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.86,0.86,1.2,50
01/04/2020 01:00,240.3,240.4,240,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.3,0.95,0.89,0.85,0.83,1.2,50
01/04/2020 02:00,240.7,240.8,240.4,2.9,1.9,1.2,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.2,1.3,0.7,0.4,0.3,0.95,0.89,0.85,0.82,1.2,50.1
01/04/2020 03:00,241,241,240.8,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.95,0.89,0.85,0.84,1.2,50
01/04/2020 04:00,241,240.9,240.7,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.95,0.89,0.85,0.84,1.2,50
01/04/2020 05:00,240.6,240.6,240.3,2.9,1.9,0.9,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.83,1.2,50
01/04/2020 06:00,240.8,240.9,240.6,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.89,0.85,0.64,1.1,50.1
01/04/2020 07:00,240.4,240.6,240.3,2.9,1.9,0.9,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.9,0.85,0.64,1.1,50
01/04/2020 08:00,239.4,239.7,239.3,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.95,0.9,0.85,0.65,1.1,50
01/04/2020 09:00,238.8,239.1,238.7,2.9,1.9,0.9,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.9,0.85,0.64,1.1,49.9
01/04/2020 10:00,238.9,239.2,238.6,2.9,1.9,0.9,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.64,1.1,50
01/04/2020 11:00,238.2,238.5,238,3.2,1.9,0.9,1.2,0.7,0.4,0.1,-0.4,-0.4,-0.2,0.2,1.2,0.8,0.4,0.2,0.94,0.88,0.85,0.64,1.2,49.9
01/04/2020 12:00,238.3,238.5,238.1,3,1.9,1,1.2,0.7,0.4,0.2,-0.3,-0.2,-0.2,0.2,1.2,0.7,0.4,0.2,0.97,0.94,0.85,0.63,1.2,49.8
01/04/2020 13:00,238,238.1,237.7,2.9,1.9,0.9,1.1,0.6,0.4,0.1,-0.3,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.96,0.91,0.85,0.63,1.1,49.8
01/04/2020 14:00,237.9,238,237.6,3,1.9,0.9,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.96,0.92,0.85,0.73,1.1,50
01/04/2020 15:00,238.1,238.3,237.9,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.95,0.89,0.85,0.8,1.2,49.9
01/04/2020 16:00,239.1,239.3,238.8,2.9,1.9,0.9,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.89,0.85,0.63,1.1,50
01/04/2020 17:00,238.6,238.7,238.3,2.9,1.9,1,1.1,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.89,0.85,0.67,1.1,50
01/04/2020 18:00,236.4,236.4,236.1,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.9,0.86,0.87,1.2,49.9
01/04/2020 19:00,236.2,236.3,235.8,2.9,1.9,1.3,1.3,0.6,0.4,0.3,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.3,0.95,0.9,0.86,0.93,1.3,50
01/04/2020 20:00,237,237,236.6,2.9,1.9,1.2,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.3,0.96,0.91,0.86,0.84,1.2,50
01/04/2020 21:00,238,238,237.5,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.9,0.86,0.87,1.2,50
01/04/2020 22:00,241.5,241.5,241.1,2.9,2.2,0.9,1.3,0.6,0.5,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.5,0.2,0.95,0.9,0.9,0.87,1.3,50
01/04/2020 23:00,241.3,241.4,240.9,2.9,2,0.9,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.95,0.89,0.92,0.87,1.2,50
02/04/2020 00:00,241.8,241.8,241.3,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.94,0.89,0.86,0.85,1.2,50
02/04/2020 01:00,242.5,242.5,242.1,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.94,0.88,0.86,0.84,1.2,50.1
02/04/2020 02:00,243.2,243.3,242.9,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.94,0.88,0.85,0.85,1.2,50.1
02/04/2020 03:00,241.2,241.2,240.9,3.2,1.9,0.9,1.2,0.7,0.4,0.2,-0.5,-0.3,-0.2,0.1,1.3,0.8,0.4,0.2,0.94,0.89,0.87,0.89,1.2,50
02/04/2020 04:00,240.5,240.5,240.2,3,1.9,1.1,1.2,0.7,0.4,0.2,-0.3,-0.2,-0.2,0.1,1.3,0.7,0.4,0.2,0.97,0.94,0.86,0.84,1.2,50
02/04/2020 05:00,240.8,240.8,240.6,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.96,0.92,0.85,0.82,1.2,50
02/04/2020 06:00,240.7,240.9,240.6,2.9,1.9,0.7,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.95,0.91,0.85,0.64,1.1,50
02/04/2020 07:00,240.4,240.6,240.4,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.64,1.1,50
02/04/2020 08:00,239.7,240,239.6,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.65,1.1,50.1
02/04/2020 09:00,239,239.2,238.9,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.64,1.1,50
02/04/2020 10:00,238.6,238.8,238.4,2.9,1.9,1.2,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.3,0.95,0.89,0.85,0.79,1.2,50
02/04/2020 11:00,241.3,241.6,241.1,2.9,1.9,1,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.89,0.85,0.64,1.1,49.8
02/04/2020 12:00,241.1,241.1,240.8,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.63,1.1,49.9
02/04/2020 13:00,240.7,240.9,240.5,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.95,0.9,0.85,0.63,1.1,49.9
02/04/2020 14:00,241.1,241.3,240.9,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.9,0.85,0.62,1.1,49.9
02/04/2020 15:00,242.3,242.5,242,2.9,1.9,1.2,1.2,0.6,0.4,0.2,-0.3,-0.3,-0.2,0.2,1.3,0.7,0.4,0.3,0.96,0.9,0.86,0.77,1.2,50
02/04/2020 16:00,240,240.2,239.7,3.2,1.9,1,1.2,0.7,0.4,0.1,-0.4,-0.4,-0.2,0.2,1.2,0.8,0.4,0.2,0.95,0.89,0.86,0.63,1.2,49.9
02/04/2020 17:00,238.7,238.8,238.4,3,1.9,1,1.2,0.7,0.4,0.2,-0.3,-0.2,-0.2,0.2,1.2,0.7,0.4,0.2,0.97,0.94,0.86,0.68,1.2,49.9
02/04/2020 18:00,237.4,237.4,237,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.95,0.9,0.86,0.86,1.2,49.9
02/04/2020 19:00,237.8,237.6,237.2,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.95,0.91,0.86,0.87,1.2,50
02/04/2020 20:00,238.3,238.1,237.8,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.95,0.92,0.86,0.86,1.2,49.9
02/04/2020 21:00,239.8,239.6,239.2,2.9,2.2,1.1,1.3,0.6,0.5,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.5,0.2,0.96,0.9,0.91,0.85,1.3,50.1
02/04/2020 22:00,241.7,241.7,241.3,2.9,1.9,1.2,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.3,0.96,0.89,0.89,0.83,1.2,50.1
02/04/2020 23:00,243.2,243.3,242.8,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.95,0.89,0.86,0.84,1.2,50.1
03/04/2020 00:00,243.7,243.8,243.3,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.94,0.89,0.86,0.85,1.2,50.1
03/04/2020 01:00,244,244,243.6,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.94,0.88,0.86,0.85,1.2,50.1
03/04/2020 02:00,244.6,244.6,244.3,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.2,0.94,0.88,0.86,0.85,1.2,50.1
03/04/2020 03:00,245.1,245.2,244.9,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.3,0.95,0.89,0.86,0.83,1.2,50.1
03/04/2020 04:00,245.3,245.4,245.1,2.9,1.9,1.1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.3,0.7,0.4,0.3,0.95,0.9,0.85,0.83,1.2,50.1
03/04/2020 05:00,245.3,245.4,245.1,2.9,1.9,1,1.2,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.9,0.86,0.82,1.2,50
03/04/2020 06:00,245,245.2,244.9,2.9,1.9,0.7,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.61,1.1,50
03/04/2020 07:00,243.5,243.8,243.4,2.9,1.8,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.62,1.1,50
03/04/2020 08:00,240.4,240.7,240.2,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.85,0.64,1.1,50
03/04/2020 09:00,239,239.3,238.8,2.9,1.9,1,1.1,0.6,0.4,0.2,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.88,0.85,0.74,1.1,50
03/04/2020 10:00,237.3,237.6,237.2,2.9,1.9,1.3,1.2,0.6,0.4,0.2,-0.3,-0.3,-0.2,0.2,1.2,0.7,0.4,0.3,0.96,0.89,0.86,0.72,1.2,50
03/04/2020 11:00,237,237.3,236.9,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.86,0.64,1.1,50
03/04/2020 12:00,237.7,238,237.5,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.86,0.65,1.1,49.9
03/04/2020 13:00,237.9,238.2,237.7,2.9,1.9,0.8,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.1,1.2,0.7,0.4,0.2,0.94,0.89,0.86,0.65,1.1,49.9
03/04/2020 14:00,239,239.1,238.7,2.9,1.9,0.9,1.1,0.6,0.4,0.1,-0.4,-0.3,-0.2,0.2,1.2,0.7,0.4,0.2,0.95,0.88,0.85,0.64,1.1,50
