Date,Voltage Red-Phase: Songhai (V) ,Voltage White-Phase: Songhai (V),Voltage Blue-Phase: Songhai (V) ,Current Red-Phase: Songhai (A),Current White-Phase: Songhai (A),Current Blue-Phase: Songhai (A),Total Active Power: Songhai (kW),Active Power Red-Phase: Songhai (kW),Active Power White-Phase: Songhai (kW),Active Power Blue-Phase: Songhai (kW),Total Reactive Power: Songhai (kVAr) ,Reactive Power Red-Phase: Songhai (kVAr),Reactive Power White-Phase: Songhai (kVAr),Reactive Power Blue-Phase: Songhai (kVAr),Total Demand:Songhai (kVA),Demand Red-Phase: Songhai (kVA),Demand White-Phase: Songhai (kVA),Demand Blue-Phase: Songhai (kVA),Total Power Factor,Power Factor Red-Phase: Songhai,Power Factor White-Phase: Songhai,Power Factor Blue-Phase: Songhai,Total Power Consumed: Songhai (kWh) ,Frequency (Hz): Songhai 
01/04/2020 00:00,238.3,238.3,237.9,0,0,1.2,0.2,0,0,0.2,0.2,0,0,0.2,0.3,0,0,0.3,0.58,0.66,1,0.58,0.2,50
01/04/2020 01:00,238.9,238.8,238.5,0,0,1.1,0.1,0,0,0.1,0.2,0,0,0.2,0.3,0,0,0.3,0.57,0.7,1,0.57,0.1,50
01/04/2020 02:00,239.3,239.2,239,0,0,1,0.1,0,0,0.1,0.2,0,0,0.2,0.2,0,0,0.2,0.57,0.64,1,0.57,0.1,50.1
01/04/2020 03:00,239.6,239.5,239.3,0,0,0.9,0.1,0,0,0.1,0.2,0,0,0.2,0.2,0,0,0.2,0.57,0.71,1,0.57,0.1,50
01/04/2020 04:00,239.6,239.4,239.2,0,0,1,0.1,0,0,0.1,0.2,0,0,0.2,0.2,0,0,0.2,0.58,0.62,1,0.58,0.1,50
01/04/2020 05:00,239.2,239.1,238.8,0,0,1.2,0.2,0,0,0.2,0.2,0,0,0.2,0.3,0,0,0.3,0.59,0.64,1,0.59,0.2,50
01/04/2020 06:00,239.4,239.4,239.2,0,0,1,0.1,0,0,0.1,0.2,0,0,0.2,0.2,0,0,0.2,0.58,0.32,1,0.58,0.1,50.1
01/04/2020 07:00,239,239.1,238.8,0,0,0.9,0.1,0,0,0.1,0.2,0,0,0.2,0.2,0,0,0.2,0.57,0.48,1,0.57,0.1,50
01/04/2020 08:00,238,238.2,237.9,0,0,1,0.1,0,0,0.1,0.2,0,0,0.2,0.2,0,0,0.2,0.57,0.31,1,0.57,0.1,50
01/04/2020 09:00,237.5,237.6,237.2,0,0,1.2,0.2,0,0,0.2,0.2,0,0,0.2,0.3,0,0,0.3,0.58,0.32,1,0.58,0.2,49.9
01/04/2020 10:00,237.5,237.6,237.2,0,0,1.2,0.2,0,0,0.2,0.2,0,0,0.2,0.3,0,0,0.3,0.73,0.43,1,0.73,0.2,50
01/04/2020 11:00,236.8,237,236.5,0,0,1.2,0.2,0,0,0.2,0.2,0,0,0.2,0.3,0,0,0.3,0.63,0.26,1,0.63,0.2,49.9
01/04/2020 12:00,236.9,237,236.7,0,0,1.3,0.2,0,0,0.2,0.3,0,0,0.3,0.3,0,0,0.3,0.58,0.24,1,0.58,0.2,49.8
01/04/2020 13:00,236.6,236.5,236.2,0,0,1.2,0.2,0,0,0.2,0.2,0,0,0.2,0.3,0,0,0.3,0.58,0.35,1,0.58,0.2,49.8
01/04/2020 14:00,236.5,236.5,236.2,0,0,1.3,0.2,0,0,0.2,0.2,0,0,0.2,0.3,0,0,0.3,0.58,0.31,1,0.58,0.2,50
